 twitter_handle,Source,Type,Domain,Rating,Score,Country,Language,target_user_id,followers
100PercFEDUP,https://twitter.com/100percFEDUP,TWITTER,100percentfedup.com,N,0.0,US,en,141422795,16964.0
209TimesCA,https://twitter.com/209TimesCA,TWITTER,209times.com,N,39.5,US,en,828800194355437573,8365.0
21stCenturyWire,https://twitter.com/21stCenturyWire,TWITTER,21stcenturywire.com,N,17.5,US,en,428718110,19421.0
AAPSonline,https://twitter.com/aapsonline,TWITTER,aapsonline.org,N,15.0,US,en,42769016,44961.0
aciprensa,https://twitter.com/aciprensa,TWITTER,aciprensa.com,N,57.0,US,en,17828368,444711.0
ACLJ,https://twitter.com/ACLJ,TWITTER,aclj.org,N,57.0,US,en,20791372,189001.0
ActivistPost,https://www.twitter.com/ActivistPost,TWITTER,activistpost.com,N,12.5,US,en,154532994,41300.0
ActualidadRT,https://twitter.com/ActualidadRT,TWITTER,actualidad.rt.com,N,0.0,US,en,100731315,3515994.0
AgeofAutism,https://twitter.com/AgeofAutism,TWITTER,ageofautism.com,N,25.0,US,en,33522725,35925.0
AlachuaChronic1,https://twitter.com/alachuachronic1,TWITTER,alachuachronicle.com,N,52.0,US,en,1133847556516122634,1041.0
AJEnglish,https://twitter.com/ajenglish,TWITTER,aljazeera.com,N,52.0,US,en,4970411,8797371.0
allnewspipeline,https://twitter.com/allnewspipeline,TWITTER,allnewspipeline.com,N,7.5,US,en,806611837693415428,190.0
AlphaNewsMN,https://twitter.com/alphanewsmn,TWITTER,alphanews.org,N,49.5,US,en,3041775900,51898.0
AltHealthWORKS,https://twitter.com/AltHealthWORKS,TWITTER,althealthworks.com,N,30.0,US,en,245227608,1288.0
JDRucker,https://twitter.com/jdrucker,TWITTER,americafirstreport.com,N,20.0,US,en,11622712,115531.0
AmActionNews,https://twitter.com/AmActionNews,TWITTER,americanactionnews.com,N,44.5,US,en,1898509585,5651.0
AmerIndependent,https://twitter.com/amerindependent,TWITTER,americanindependent.com,N,57.0,US,en,2467720274,91346.0
patriot_raging,https://twitter.com/patriot_raging,TWITTER,americanpatriot.news,N,57.0,US,en,937799852276064256,77.0
amer_pregnancy,https://twitter.com/amer_pregnancy,TWITTER,americanpregnancy.org,N,50.0,US,en,429091729,4613.0
AmericanThinker,https://twitter.com/AmericanThinker,TWITTER,americanthinker.com,N,12.5,US,en,34109146,48677.0
AFF_PATRIOT,https://twitter.com/AFF_PATRIOTS,TWITTER,americasfreedomfighters.com,N,0.0,US,en,2446935385,9.0
drsimonegold,https://twitter.com/drsimonegold,TWITTER,americasfrontlinedoctors.org,N,17.5,US,en,806344552718045184,780437.0
RealAmVoice,https://twitter.com/RealAmVoice,TWITTER,americasvoice.news,N,25.0,US,en,935942321756966912,245123.0
theamgreatness,https://twitter.com/theamgreatness,TWITTER,amgreatness.com,N,42.0,US,en,749016639287414784,42216.0
AnonymousNewsHQ,https://twitter.com/AnonymousNewsHQ,TWITTER,anonhq.com,N,44.5,US,en,2848616367,24768.0
ANTHONYBLOGAN,https://www.twitter.com/anthonyblogan,TWITTER,anthonyblogan.com,N,57.0,US,en,17824071,62711.0
Antiwarcom,https://twitter.com/Antiwarcom?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,TWITTER,antiwar.com,N,49.5,US,en,15503210,81742.0
arabnews,https://twitter.com/arabnews,TWITTER,arabnews.com,N,44.5,US,en,69172612,502115.0
AriseOhio,https://twitter.com/AriseOhio,TWITTER,ariseohio.com,N,39.5,US,en,1275093660804222977,13.0
aSciEnthusiast,https://twitter.com/ascienthusiast,TWITTER,ascienceenthusiast.com,N,55.0,US,en,3145127635,19150.0
awarenessactcom,https://twitter.com/awarenessactcom,TWITTER,awarenessact.com,N,57.5,US,en,702582536397070337,617.0
AZFreeNews,https://twitter.com/AZFreeNews,TWITTER,azfreenews.com,N,44.5,US,en,1446575772374687745,1281.0
Baltimore_Times,https://twitter.com/Baltimore_Times,TWITTER,baltimoretimes-online.com,N,57.0,US,en,241622603,2525.0
barenakedislam,https://twitter.com/barenakedislam,TWITTER,barenakedislam.com,N,42.0,US,en,18118505,16508.0
AliciaFixLuke,https://twitter.com/AliciaFixLuke,TWITTER,bb4sp.com,N,37.5,US,en,1056630339995648000,5988.0
NewsBecker,https://twitter.com/NewsBecker,TWITTER,beckernews.com,N,25.0,US,en,1338580797977210880,23497.0
beforeitsnews,https://twitter.com/beforeitsnews,TWITTER,beforeitsnews.com,N,0.0,US,en,73572581,64799.0
theBerniePost,https://twitter.com/theBerniePost,TWITTER,berniepost.com,N,39.5,US,en,3312017672,2614.0
bigleaguepol,https://twitter.com/BigLeaguePol,TWITTER,bigleaguepolitics.com,N,12.5,US,en,856991644134068224,66477.0
Bipartisanism,https://twitter.com/bipartisanism,TWITTER,bipartisanreport.com,N,57.5,US,en,487600344,135795.0
bitcoinist,https://twitter.com/bitcoinist,TWITTER,bitcoinist.com,N,44.5,US,en,2338070737,67554.0
BlacklistedNews,https://twitter.com/BlacklistedNews,TWITTER,blacklistednews.com,N,15.0,US,en,26163517,68472.0
BlackNews,https://twitter.com/BlackNews,TWITTER,blacknews.com,N,44.5,US,en,18029139,92723.0
dbongino,https://twitter.com/dbongino,TWITTER,bongino.com,N,49.5,US,en,232901331,5010285.0
Breaking911,https://twitter.com/Breaking911,TWITTER,breaking911.com,N,52.0,US,en,375721095,1034623.0
BCNbcn,https://twitter.com/BCNbcn,TWITTER,breakingchristiannews.com,N,44.5,US,en,42732678,7060.0
BreitbartNews,https://twitter.com/BreitbartNews,TWITTER,breitbart.com,N,49.5,US,en,457984599,2082615.0
ACTBrigitte,https://twitter.com/ACTBrigitte,TWITTER,brigittegabriel.com,N,50.0,US,en,722528529716383744,1048870.0
brownstoneinst,https://twitter.com/brownstoneinst,TWITTER,brownstone.org,N,40.0,US,en,1406055552879370240,42127.0
CovidAnalysis,https://twitter.com/CovidAnalysis,TWITTER,c19early.com,N,39.5,US,en,1268382058432221186,9231.0
CaliforniaGlobe,https://twitter.com/californiaglobe,TWITTER,californiaglobe.com,N,35.0,US,en,1006268732560289792,38604.0
CardinalAndPine,https://twitter.com/cardinalandpine,TWITTER,cardinalpine.com,N,57.0,US,en,1214915432043483142,6807.0
catholic_proud,https://twitter.com/catholic_proud,TWITTER,catholicsay.com,N,57.0,US,en,1062413857,4661.0
CFACT,https://twitter.com/cfact,TWITTER,cfact.org,N,27.5,US,en,38532025,15063.0
CGTNOfficial,https://twitter.com/CGTNOfficial,TWITTER,cgtn.com,N,44.5,US,en,1115874631,12975019.0
charisma_news,https://twitter.com/#!/charisma_news,TWITTER,charismanews.com,N,35.0,US,en,370729020,21224.0
charliekirk11,https://twitter.com/charliekirk11,TWITTER,charliekirk.com,N,10.0,US,en,292929271,2795915.0
ChiDefender,https://twitter.com/chidefender,TWITTER,chicagodefender.com,N,57.5,US,en,160596522,8688.0
ChildrensHD,https://twitter.com/childrenshd,TWITTER,childrenshealthdefense.org,N,17.5,US,en,782018153207431168,215286.0
ChinaDailyUSA,https://twitter.com/ChinaDailyUSA,TWITTER,chinadaily.com.cn,N,44.5,US,en,1045872810038419457,2106.0
christianhlines,https://twitter.com/christianhlines,TWITTER,christianheadlines.com,N,57.0,US,en,188916113,8951.0
Church_Militant,https://twitter.com/Church_Militant,TWITTER,churchmilitant.com,N,35.0,US,en,606400487,53139.0
CitizensJourn,https://twitter.com/CitizensJourn,TWITTER,citizensjournal.us,N,7.5,US,en,1081701842470367232,660.0
NewsFromCCT,https://twitter.com/NewsFromCCT,TWITTER,clarkcountytoday.com,N,57.0,US,en,754523975867244544,2279.0
ClashDailyCom,https://twitter.com/clashdailycom,TWITTER,clashdaily.com,N,42.0,US,en,595644255,54.0
