"",Unnamed: 0,target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
0,0,1002361483169226752,TrialsiteN,NaN,NaN,https://twitter.com/TrialsiteN,TWITTER,trialsitenews.com,N,30.0,US,en,13042.0
1,1,1006268732560289792,CaliforniaGlobe,NaN,NaN,https://twitter.com/californiaglobe,TWITTER,californiaglobe.com,N,35.0,US,en,38604.0
2,2,100731315,ActualidadRT,NaN,NaN,https://twitter.com/ActualidadRT,TWITTER,actualidad.rt.com,N,0.0,US,en,3515994.0
3,3,1008376462506971136,FL_Daily,NaN,NaN,https://twitter.com/fl_daily,TWITTER,floridadaily.com,N,44.5,US,en,1101.0
4,4,101395336,homenaturalcure,NaN,NaN,https://twitter.com/homenaturalcure,TWITTER,homenaturalcures.com,N,35.0,US,en,1251.0
5,5,1018425398869282817,Electroversenet,NaN,NaN,https://twitter.com/Electroversenet,TWITTER,electroverse.co,N,25.0,US,en,28381.0
6,6,1019946132368216064,IA_Journal_,NaN,NaN,https://twitter.com/IA_Journal_,TWITTER,en.interaffairs.ru,N,32.5,US,en,950.0
7,7,1021138925773938689,TheOhioStar,NaN,NaN,https://twitter.com/TheOhioStar,TWITTER,theconnecticutstar.com,N,40.0,US,en,1418.0
8,8,1021461090671030272,SaltyCracker9,62.0,8582.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,9,1021549421610377217,ConsPolToday,NaN,NaN,https://twitter.com/conspoltoday,TWITTER,conservativepolitics2day.com,N,50.0,US,en,6153.0
10,10,1029527676833419265,TheMichiganStar,NaN,NaN,https://twitter.com/themichiganstar,TWITTER,theconnecticutstar.com,N,40.0,US,en,19.0
11,11,1031747223569227776,DarrenJBeattie,57.0,16908.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,12,1035750989607841793,TheMinnesotaSun,NaN,NaN,https://twitter.com/TheMinnesotaSun,TWITTER,theconnecticutstar.com,N,40.0,US,en,200.0
13,13,1038972096,MehrnewsCom,NaN,NaN,https://twitter.com/MehrnewsCom,TWITTER,en.mehrnews.com,N,5.0,US,en,24196.0
14,14,1041939506084044800,heiankyo_327,32.0,6290.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,15,1042447153170309120,QNationUS,NaN,NaN,https://x.com/QNationUS?s=20,TWITTER,qnation.us,N,20.0,US,en,19.0
16,16,1043097751,RonPaulInstitut,NaN,NaN,https://twitter.com/RonPaulInstitut,TWITTER,ronpaulinstitute.org,N,30.0,US,en,79384.0
17,17,1043185714437992449,catturd2,139.0,340425.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,18,1045872810038419457,ChinaDailyUSA,NaN,NaN,https://twitter.com/ChinaDailyUSA,TWITTER,chinadaily.com.cn,N,44.5,US,en,2106.0
19,19,1046311936944558082,OopstopC,NaN,NaN,https://twitter.com/oopstopc,TWITTER,oopstop.com,N,7.5,US,en,5.0
20,20,1056630339995648000,AliciaFixLuke,NaN,NaN,https://twitter.com/AliciaFixLuke,TWITTER,bb4sp.com,N,37.5,US,en,5988.0
21,21,1060579035170959360,griptmedia,69.0,20599.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,22,1062413857,catholic_proud,NaN,NaN,https://twitter.com/catholic_proud,TWITTER,catholicsay.com,N,57.0,US,en,4661.0
23,23,106393496,russiabeyond,NaN,NaN,https://x.com/russiabeyond?s=20,TWITTER,rbth.com,N,54.5,US,en,32710.0
24,24,1067792857111642113,LWCnewswire,NaN,NaN,https://twitter.com/LWCnewswire,TWITTER,louderwithcrowder.com,N,32.0,US,en,58489.0
25,25,1070137173054291968,Evie_Magazine,NaN,NaN,https://twitter.com/evie_magazine,TWITTER,eviemagazine.com,N,12.5,US,en,38736.0
26,26,1074480192,SenTedCruz,39.0,15827.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,27,10774652,theblaze,44.0,8760.0,https://www.twitter.com/TheBlaze,TWITTER,theblaze.com,N,49.5,US,en,959981.0
28,28,1081701842470367232,CitizensJourn,NaN,NaN,https://twitter.com/CitizensJourn,TWITTER,citizensjournal.us,N,7.5,US,en,660.0
29,29,1082197856,KariLake,48.0,138588.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,30,1085225533623783424,KanekoaTheGreat,38.0,113215.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,31,1092538332981219328,VozWire,NaN,NaN,https://twitter.com/vozwire,TWITTER,vozwire.com,N,55.0,US,en,181.0
32,32,109398997,stopvaccinating,NaN,NaN,https://x.com/stopvaccinating?s=20,TWITTER,stopmandatoryvaccination.com,N,22.5,US,en,57496.0
33,33,109579534,EliseStefanik,41.0,15007.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,34,109640315,infolibnews,NaN,NaN,https://www.twitter.com/infolibnews,TWITTER,informationliberation.com,N,39.5,US,en,5903.0
35,35,1098091506886471680,laralogan,100.0,110564.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,36,1103351392285147136,vadogwoodnews,NaN,NaN,https://www.twitter.com/vadogwoodnews,TWITTER,vadogwood.com,N,57.0,US,en,7422.0
38,38,1115874631,CGTNOfficial,NaN,NaN,https://twitter.com/CGTNOfficial,TWITTER,cgtn.com,N,44.5,US,en,12975019.0
