"",target_user_id,twitter_handle,fib_index,total_reshares,Source,Type,Domain,Rating,Score,Country,Language,followers
0,1000607182889496577,CzebotarJessie,23.0,1459.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1001154543168753665,TiwannaRN42,15.0,711.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1002361483169226752,TrialsiteN,NaN,NaN,https://twitter.com/TrialsiteN,TWITTER,trialsitenews.com,N,30.0,US,en,13042.0
3,1006268732560289792,CaliforniaGlobe,NaN,NaN,https://twitter.com/californiaglobe,TWITTER,californiaglobe.com,N,35.0,US,en,38604.0
4,100731315,ActualidadRT,NaN,NaN,https://twitter.com/ActualidadRT,TWITTER,actualidad.rt.com,N,0.0,US,en,3515994.0
5,1007374418358800384,RealBruceClark,11.0,414.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,1008376462506971136,FL_Daily,NaN,NaN,https://twitter.com/fl_daily,TWITTER,floridadaily.com,N,44.5,US,en,1101.0
7,1009560837734846464,LivePDDave1,11.0,468.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,1012343293085011972,FcSunnee,12.0,570.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,101395336,homenaturalcure,NaN,NaN,https://twitter.com/homenaturalcure,TWITTER,homenaturalcures.com,N,35.0,US,en,1251.0
10,1014667477,VanEmmerickKris,15.0,1143.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,1015683182060945408,enfree1993,12.0,440.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,1018425398869282817,Electroversenet,NaN,NaN,https://twitter.com/Electroversenet,TWITTER,electroverse.co,N,25.0,US,en,28381.0
13,101852818,Eric_Schmitt,12.0,743.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,1018582177381081095,RealScottRitter,17.0,3257.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,1019946132368216064,IA_Journal_,NaN,NaN,https://twitter.com/IA_Journal_,TWITTER,en.interaffairs.ru,N,32.5,US,en,950.0
16,1021138925773938689,TheOhioStar,NaN,NaN,https://twitter.com/TheOhioStar,TWITTER,theconnecticutstar.com,N,40.0,US,en,1418.0
17,1021461090671030272,SaltyCracker9,62.0,8582.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,1021549421610377217,ConsPolToday,NaN,NaN,https://twitter.com/conspoltoday,TWITTER,conservativepolitics2day.com,N,50.0,US,en,6153.0
19,1021840166380421120,saisaisaiiz,14.0,986.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,1022693675250249729,DrewHLive,16.0,3991.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,1029465832781492226,RekietaLaw,20.0,1623.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,1029527676833419265,TheMichiganStar,NaN,NaN,https://twitter.com/themichiganstar,TWITTER,theconnecticutstar.com,N,40.0,US,en,19.0
23,1031747223569227776,DarrenJBeattie,57.0,16908.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,1033994695595065347,WayV_official,11.0,159927.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,1035750989607841793,TheMinnesotaSun,NaN,NaN,https://twitter.com/TheMinnesotaSun,TWITTER,theconnecticutstar.com,N,40.0,US,en,200.0
26,1038972096,MehrnewsCom,NaN,NaN,https://twitter.com/MehrnewsCom,TWITTER,en.mehrnews.com,N,5.0,US,en,24196.0
27,1041939506084044800,heiankyo_327,32.0,6290.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,1042447153170309120,QNationUS,NaN,NaN,https://x.com/QNationUS?s=20,TWITTER,qnation.us,N,20.0,US,en,19.0
29,1043097751,RonPaulInstitut,NaN,NaN,https://twitter.com/RonPaulInstitut,TWITTER,ronpaulinstitute.org,N,30.0,US,en,79384.0
30,1043185714437992449,catturd2,139.0,340425.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,1045872810038419457,ChinaDailyUSA,NaN,NaN,https://twitter.com/ChinaDailyUSA,TWITTER,chinadaily.com.cn,N,44.5,US,en,2106.0
32,1045908904985513985,Dadidice1,25.0,1800.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,1045921071180918785,ShenYue_TH,13.0,417.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,1046102582643642373,BookerSparticus,27.0,4134.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,1046311936944558082,OopstopC,NaN,NaN,https://twitter.com/oopstopc,TWITTER,oopstop.com,N,7.5,US,en,5.0
36,1046559976834158592,Baklava_USA,28.0,2317.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,1052225335318712320,annvandersteel,12.0,285.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,1056630339995648000,AliciaFixLuke,NaN,NaN,https://twitter.com/AliciaFixLuke,TWITTER,bb4sp.com,N,37.5,US,en,5988.0
